ensembl_id	c1	c2	c3	c4	c5	c6	c7	c8	t1	t2	t3	t4	t5	t6	t7	t8
ENSG00000134046.10	5317	9998	6097	6720	2707	2331	7366	4245	3883	9716	5061	1410	6157	3401	6177	2554
ENSG00000134049.4	2122	7803	3616	2904	1517	1261	2010	1680	2558	3884	1735	1173	2372	1261	2749	1329
ENSG00000134056.10	694	1733	1460	726	1020	639	1113	995	1788	1234	985	374	845	1131	1368	785
ENSG00000134057.13	1162	9287	4453	3426	6946	4129	6947	782	4324	7253	4171	778	3492	3226	2111	2879
ENSG00000134058.9	764	1762	2014	1264	1565	843	1935	944	1698	1763	1051	621	1492	1657	1392	1036
ENSG00000134061.5	814	198	478	148	598	316	133	176	695	326	439	210	483	408	709	122
ENSG00000134070.4	857	101	1526	218	3294	478	483	284	2223	217	1508	2330	699	2324	1834	8209
ENSG00000134072.9	297	136	132	161	104	428	214	229	359	224	199	155	159	119	406	389
ENSG00000134077.14	1513	2013	2569	2484	3028	3846	1527	1914	2861	2531	7282	2057	2174	2150	2137	2880
ENSG00000134086.7	2035	2139	3438	3267	4482	5205	2428	2103	5529	2161	12178	2974	3370	2982	3424	4917
ENSG00000134107.4	8243	8794	36741	13950	15077	2292	51520	11044	18866	4770	14781	26775	15042	16650	37015	13628
ENSG00000134108.11	4140	7609	14171	11520	7183	3798	11753	6065	9776	6659	7652	4767	8607	7628	6991	6920
ENSG00000134109.9	3393	2527	7476	5137	6146	3745	6146	4385	6201	1998	3471	3693	5466	4957	6247	6483
ENSG00000134115.11	10	1	65	1	2	0	1	10	2	1	4	0	2	0	4	0
ENSG00000134121.8	1016	257	6003	6844	223	151	217	381	1599	74	429	569	303	344	1603	14
ENSG00000134138.18	1078	344	488	1054	351	2009	2117	1515	1765	521	452	707	1202	890	763	1354
ENSG00000134146.10	396	666	512	725	324	828	827	898	731	1212	850	423	502	517	484	612
ENSG00000134152.9	678	1534	2641	1856	1005	959	2959	1450	2076	1235	1429	848	1404	1623	2064	1532
ENSG00000134153.8	2288	3587	2511	2958	1897	2388	3224	2689	4194	3341	3501	1527	3004	3048	3800	4962
ENSG00000134160.12	2	112	46	19	2	4	9	0	3	43	2	1	17	1	0	0
ENSG00000134184.11	19	66	1	57	0	4199	2479	375	14	90786	190	3	282	1	5	3365
ENSG00000134186.10	3206	4796	6084	4142	4584	8725	6717	2530	9029	3020	2053	3188	4984	6523	8311	4687
ENSG00000134193.13	22	172	26	16	12858	198	3	7	585	3	0	400	218	42	20385	161
ENSG00000134198.8	748	362	245	548	1659	222	904	1038	1629	120	129	732	1105	502	425	237
ENSG00000134200.3	12	0	9	0	3	0	4	0	3	0	0	2	1	2	0	3
ENSG00000134201.9	409	179	74	79	51	93	94	87	341	214	70	55	118	113	231	53
ENSG00000134202.9	1700	35879	1477	25624	1429	2375	2320	417	825	50868	13836	2342	13386	158	1138	198
ENSG00000134207.13	58	11	10	19	0	9	4	71	8	33	3	2	21	31	9	1
ENSG00000134215.14	551	121	4983	1052	947	302	6758	10877	563	366	107	226	951	395	815	123
ENSG00000134216.17	0	0	3	0	1	12	1	0	1	0	0	0	1	0	7	0
ENSG00000134222.15	256	1426	412	543	795	1181	830	110	596	561	374	195	448	430	436	848
ENSG00000134240.10	63	15	16	8	2	172	64	0	18831	0	1	239	8	5	224	148
ENSG00000134242.14	2320	214	1435	160	711	845	202	466	800	547	204	925	307	1633	1282	755
ENSG00000134243.10	5909	3898	6356	6644	4876	14546	9737	3703	12573	1004	3194	6300	6449	5111	9967	7490
ENSG00000134245.16	435	7438	1218	3793	483	732	5164	795	3613	486	1042	451	2620	491	431	309
ENSG00000134247.9	4986	32653	18835	21189	8329	7443	42627	14047	17679	4631	10544	6567	38478	5021	6981	10229
ENSG00000134248.12	3520	12453	3401	3033	3074	4219	5072	2961	4831	4436	2501	1747	4182	3646	5563	6398
ENSG00000134249.6	0	0	42	0	5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134250.16	13214	5904	13197	9879	14151	18738	20101	25414	21875	2915	8846	15990	18441	9627	9086	9356
ENSG00000134253.8	81	1033	257	360	306	618	592	379	309	352	306	334	255	281	146	225
ENSG00000134255.12	1703	1753	1852	1195	1584	2318	1741	1464	2266	750	999	1202	1362	1788	3313	2785
ENSG00000134256.11	189	547	428	136	165	280	190	352	150	420	117	190	338	143	242	169
ENSG00000134258.15	3	151	354	326	45	209	11002	183	111	399	71	2734	1157	340	8	3035
ENSG00000134259.3	41	15	6	91	7	4	66	6	60	54	13	12	280	18	19	8
ENSG00000134262.11	1022	1198	707	524	1041	1879	917	645	2131	556	394	838	589	1661	1494	2639
ENSG00000134265.11	1150	2901	3354	1761	4510	5459	6192	2564	2287	1928	2432	2079	3639	2815	3214	3414
ENSG00000134278.13	460	1103	1021	898	3423	742	5102	3296	2088	323	2480	1549	4144	1993	1687	153
ENSG00000134283.16	2347	3727	4055	2641	1916	5220	4093	2410	3486	3417	2733	1986	3160	3033	3157	2834
ENSG00000134285.9	3218	1006	1701	617	2630	3031	896	523	3449	1458	1152	1178	1182	1606	4290	1836
ENSG00000134287.8	7232	9749	16449	11521	8428	21337	15800	7276	16383	9529	20563	6516	17886	9472	12376	12154
ENSG00000134291.10	1957	11937	3961	3491	3250	7301	4328	2304	4944	5161	5439	2535	3520	3273	5153	6065
ENSG00000134294.12	8327	18570	23065	24885	12969	13952	41385	23695	23224	8554	30395	11182	50530	18029	19891	6829
ENSG00000134297.6	78	85	107	107	195	346	194	75	372	75	34	99	315	123	195	107
ENSG00000134308.12	11217	25565	35571	43867	26272	19622	48621	13239	24513	26806	33024	8750	43944	15284	15738	13266
ENSG00000134313.13	3902	5472	9025	10865	5869	8803	10141	5094	9646	5539	8839	5149	14915	3667	3967	3937
ENSG00000134317.16	137	1174	6860	3159	724	1037	5650	403	495	971	7334	1111	1081	1282	729	680
ENSG00000134318.12	3590	2254	6680	7643	8771	19707	4879	3280	11381	2151	3654	5010	6182	4617	6203	3825
ENSG00000134321.10	8326	821	4455	1628	2097	1601	1085	823	1602	1063	1609	799	1394	2211	405	808
ENSG00000134323.10	38	31	18	49	71	2235	237	7	1402	13	533	65	78	72	131	695
ENSG00000134324.10	3395	2901	5285	3295	3518	3509	2193	2760	3907	2074	3198	1799	2182	3681	5017	2422
ENSG00000134326.10	7139	947	4149	1039	3158	1742	861	842	1862	982	800	660	775	1971	541	841
ENSG00000134330.17	1194	2106	1855	2498	1938	1245	3025	1780	2193	1609	1527	554	2013	794	1710	1176
ENSG00000134333.12	29433	100487	57834	40707	28778	25042	173925	18185	38549	78226	28486	40305	133474	72878	80536	140280
ENSG00000134339.7	189	39	652	5	605	251	233	162	34	2	122	52	462	737	1460	13200
ENSG00000134343.11	3	18	85	2	12	305	33	22	32	3	0	12	4	4	107	14
ENSG00000134352.18	20549	4521	21777	8343	14243	15679	13683	11445	38447	3384	5807	12300	11347	22328	19726	9837
ENSG00000134363.10	232	10915	1924	2541	417	1716	2362	355	1104	3938	4781	337	15284	6480	3294	194
ENSG00000134365.11	0	57	11	9	0	73	4	0	1	6	2	0	7	1	0	0
ENSG00000134369.14	4501	11124	19462	81648	4531	5223	24105	2041	12788	4592	12982	3637	29986	3673	7964	2072
ENSG00000134371.9	2074	2735	4758	6652	4276	4055	5083	5144	6299	3505	2221	3667	6975	2617	2694	3539
ENSG00000134375.9	2377	7124	3901	5535	3639	2931	3554	3042	6103	4670	3552	2151	4642	4112	3765	5021
ENSG00000134376.13	3	5	165	13	8	2	11	75	43	3	0	12	3	2	3	5
ENSG00000134389.9	0	1	9	1	1	2	1	0	0	0	0	0	0	0	0	0
ENSG00000134398.11	584	26	104	38	3677	98	25	11	7254	84	4	7923	150	5514	3916	13084
ENSG00000134419.14	17718	53793	18006	31496	13017	10226	27173	27183	20187	46040	22934	9815	16259	12966	14256	14643
ENSG00000134438.9	4	59	2	2	3	1	1	0	10	1	2	2	0	1	5	0
ENSG00000134440.10	5920	19007	7300	9751	8995	8984	6242	8175	9283	11657	6744	4274	9076	4399	7851	4445
ENSG00000134443.8	3	173	23	621	2	0	382	46	3	52	14	10	456	7	3	0
ENSG00000134444.12	1753	2095	4214	2298	2561	3276	3300	2517	2604	2286	2702	2296	2785	1498	2357	1576
ENSG00000134452.18	3240	3975	4490	4883	5777	3440	5218	6934	6461	2775	5197	2658	3044	2923	5569	8841
ENSG00000134453.14	2999	6965	4069	3633	5330	4991	6083	4218	6568	6394	4797	2446	2858	4243	7575	7209
ENSG00000134460.14	855	229	870	1088	784	504	242	263	540	904	399	594	1015	1557	1429	489
ENSG00000134461.14	267	853	388	568	709	461	462	988	457	649	698	238	268	223	537	641
ENSG00000134463.13	194	3232	2262	46	562	41	1121	3357	162	58	1109	23	21	79	169	2837
ENSG00000134470.18	3818	1459	3268	779	3491	1246	1370	2401	2471	2112	1042	1159	789	2895	3418	4457
ENSG00000134480.12	1340	1689	1196	939	1351	893	1862	767	2161	1730	1310	873	1279	1745	2267	1755
ENSG00000134489.6	9	4	18	6	11	14	2	3	7	2	5	9	8	5	10	6
ENSG00000134490.12	279	599	2017	889	881	744	678	669	1938	811	840	759	1333	687	613	3857
ENSG00000134504.11	483	3441	6405	4908	627	295	2527	3390	3548	5015	1867	878	4008	441	245	2251
